,Date,news
0,31-01-2023,"Sensex ends in green, gold hits new high"
1,31-01-2023,"Sensex ends in green, gold hits new high"
2,31-01-2023,"Sensex ends in green, gold hits new high"
3,30-01-2023,DMK sets up legal war room for polls
4,30-01-2023,War of words between BJP & Congress over ‘fulfilling promises’
5,30-01-2023,Common man seeks relief against rising inflation
6,28-01-2023,"Inflation easing, current a/c deficit manageable: RBI governor Das"
7,28-01-2023,"Inflation easing, current a/c deficit manageable: Das"
8,28-01-2023,"Inflation easing,current a/c deficit manageable: Das"
9,28-01-2023,"Sensex tanks 874 pts as fin, power, energy stocks slide"
10,28-01-2023,‘Nation building key for Tata Steel’
11,27-01-2023,"Sensex, Nifty fall in early trade on selling in banking shares, Reliance Industries"
12,26-01-2023,"Tata Motors logs profit after 2 yers, nets Rs 3,000 cr in Q3"
13,26-01-2023,Sensex tanks 774 points on weak global cues
14,24-01-2023,SAT slashes NSE co-location case fine to Rs 100cr from Rs 625cr
15,24-01-2023,SAT slashes NSE co-lo case fine to Rs 100 crore from Rs 625 crore
16,24-01-2023,US confronts China with evidence of companies aiding Putin’s war in Ukraine
17,23-01-2023,Hyderabad logs zero Covid-19 cases for 1st time since pandemic began
18,20-01-2023,RBI to get inflation within 4% by 2024
19,20-01-2023,RBI to get inflation within 4% by 2024
20,20-01-2023,Learning gains made over several years wiped out by the pandemic
21,20-01-2023,RBI to get inflation within 4% by 2024
22,19-01-2023,Che Guevara's daughter: War finishes everything
23,19-01-2023,Mallu denies Kanugolu role in war room case
24,19-01-2023,MoS: Health policy should look at tackling pandemic
25,18-01-2023,Experts say many pandemic babies battling speech delays
26,18-01-2023,‘It is a relief’: Parents back pandemic fee rebate order
27,17-01-2023,Rohingya crisis forgotten amid Ukraine war
28,17-01-2023,WPI inflation dips to 22-month low of 4.95%
29,17-01-2023,HC orders UP schools to give 15% rebate in fees paid during pandemic
30,16-01-2023,Winning hearts on crutches and wheelchairs in Tata Mumbai Marathon
31,16-01-2023,"1 suffers heart attack in Tata Mumbai Marathon, stable"
32,16-01-2023,54 foreign nationals take part in Tata Mumbai Marathon
33,16-01-2023,"Silver lining: Nearly 1,500 elders take to streets in Tata Mumbai Marathon"
34,16-01-2023,"I completed my 14th Tata Mumbai marathon, it is very special, says Sunil Chainani"
